id,name,given_name,family_name,birth_date,death_date,gender,identifiers,sources
psp:person:14,Stanislava Bumbová,Stanislava,Bumbová,1948-09-08,,female,"[{""scheme"": ""psp"", ""identifier"": ""14""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=14""}]"
psp:person:15,Eduard Bureš,Eduard,Bureš,1942-02-24,,male,"[{""scheme"": ""psp"", ""identifier"": ""15""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=15""}]"
psp:person:16,Petra Buzková,Petra,Buzková,1965-12-07,1998-12-07,female,"[{""scheme"": ""psp"", ""identifier"": ""16""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=16""}]"
psp:person:17,Miroslav Čapek,Miroslav,Čapek,1961-09-20,,male,"[{""scheme"": ""psp"", ""identifier"": ""17""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=17""}]"
psp:person:18,Vojtěch Čechák,Vojtěch,Čechák,1947-06-28,,male,"[{""scheme"": ""psp"", ""identifier"": ""18""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=18""}]"
psp:person:19,Květoslava Čelišová,Květoslava,Čelišová,1946-04-11,1998-12-07,female,"[{""scheme"": ""psp"", ""identifier"": ""19""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=19""}]"
psp:person:20,Miroslav Čerbák,Miroslav,Čerbák,1936-02-23,,male,"[{""scheme"": ""psp"", ""identifier"": ""20""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=20""}]"
psp:person:21,Petr Čermák,Petr,Čermák,1953-01-22,,male,"[{""scheme"": ""psp"", ""identifier"": ""21""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=21""}]"
psp:person:22,Jan Černý,Jan,Černý,1959-04-23,,male,"[{""scheme"": ""psp"", ""identifier"": ""22""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=22""}]"
psp:person:23,Josef Červinka,Josef,Červinka,1951-10-21,,male,"[{""scheme"": ""psp"", ""identifier"": ""23""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=23""}]"
psp:person:24,Václav Čundrle,Václav,Čundrle,1944-04-07,,male,"[{""scheme"": ""psp"", ""identifier"": ""24""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=24""}]"
psp:person:25,Jan Decker,Jan,Decker,1962-04-18,,male,"[{""scheme"": ""psp"", ""identifier"": ""25""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=25""}]"
psp:person:26,Viktor Dobal,Viktor,Dobal,1947-03-11,,male,"[{""scheme"": ""psp"", ""identifier"": ""26""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=26""}]"
psp:person:27,Robert Dostál,Robert,Dostál,1928-10-04,,male,"[{""scheme"": ""psp"", ""identifier"": ""27""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=27""}]"
psp:person:28,Vlastimil Doubrava,Vlastimil,Doubrava,1945-09-04,,male,"[{""scheme"": ""psp"", ""identifier"": ""28""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=28""}]"
psp:person:29,Jiří Drápela,Jiří,Drápela,1946-11-06,,male,"[{""scheme"": ""psp"", ""identifier"": ""29""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=29""}]"
psp:person:30,Josef Effenberger,Josef,Effenberger,1934-11-20,,male,"[{""scheme"": ""psp"", ""identifier"": ""30""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=30""}]"
psp:person:31,Václav Exner,Václav,Exner,1942-09-20,1998-12-07,male,"[{""scheme"": ""psp"", ""identifier"": ""31""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=31""}]"
psp:person:32,Jiří Faifr,Jiří,Faifr,1962-10-12,,male,"[{""scheme"": ""psp"", ""identifier"": ""32""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=32""}]"
psp:person:33,Ota Fejfar,Ota,Fejfar,1960-06-05,,male,"[{""scheme"": ""psp"", ""identifier"": ""33""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=33""}]"
psp:person:34,Tomáš Fejfar,Tomáš,Fejfar,1951-05-16,,male,"[{""scheme"": ""psp"", ""identifier"": ""34""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=34""}]"
psp:person:35,Eva Fischerová,Eva,Fischerová,1935-02-08,1998-12-07,female,"[{""scheme"": ""psp"", ""identifier"": ""35""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=35""}]"
psp:person:36,Václav Frank,Václav,Frank,1944-04-01,2000-04-13,male,"[{""scheme"": ""psp"", ""identifier"": ""36""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=36""}]"
psp:person:37,Alfred Frommer,Alfred,Frommer,1943-08-07,,male,"[{""scheme"": ""psp"", ""identifier"": ""37""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=37""}]"
psp:person:38,Andrej Gjurič,Andrej,Gjurič,1938-11-29,,male,"[{""scheme"": ""psp"", ""identifier"": ""38""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=38""}]"
psp:person:39,Stanislav Gross,Stanislav,Gross,1969-10-30,1999-06-30,male,"[{""scheme"": ""psp"", ""identifier"": ""39""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=39""}]"
psp:person:40,Václav Grulich,Václav,Grulich,1932-05-08,1998-12-07,male,"[{""scheme"": ""psp"", ""identifier"": ""40""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=40""}]"
psp:person:41,Jiří Haringer,Jiří,Haringer,1939-04-14,,male,"[{""scheme"": ""psp"", ""identifier"": ""41""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=41""}]"
psp:person:42,René Hába,René,Hába,1965-03-06,,male,"[{""scheme"": ""psp"", ""identifier"": ""42""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=42""}]"
psp:person:43,Jiří Hájek,Jiří,Hájek,1951-07-30,,male,"[{""scheme"": ""psp"", ""identifier"": ""43""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=43""}]"
psp:person:44,Josef Hájek,Josef,Hájek,1945-01-07,,male,"[{""scheme"": ""psp"", ""identifier"": ""44""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=44""}]"
psp:person:45,Pavel Hirš,Pavel,Hirš,1942-01-11,,male,"[{""scheme"": ""psp"", ""identifier"": ""45""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=45""}]"
psp:person:46,Čestmír Hofhanzl,Čestmír,Hofhanzl,1941-10-09,,male,"[{""scheme"": ""psp"", ""identifier"": ""46""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=46""}]"
psp:person:47,Josef Holub,Josef,Holub,1951-09-12,,male,"[{""scheme"": ""psp"", ""identifier"": ""47""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=47""}]"
psp:person:48,Jiří Honajzer,Jiří,Honajzer,1955-09-18,,male,"[{""scheme"": ""psp"", ""identifier"": ""48""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=48""}]"
psp:person:49,Antonín Hrazdíra,Antonín,Hrazdíra,1940-07-03,,male,"[{""scheme"": ""psp"", ""identifier"": ""49""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=49""}]"
psp:person:50,Karel Hrdý,Karel,Hrdý,1942-09-07,,male,"[{""scheme"": ""psp"", ""identifier"": ""50""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=50""}]"
psp:person:51,Marta Hubová,Marta,Hubová,1945-10-19,,female,"[{""scheme"": ""psp"", ""identifier"": ""51""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=51""}]"
psp:person:52,Josef Hurta,Josef,Hurta,1936-02-24,,male,"[{""scheme"": ""psp"", ""identifier"": ""52""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=52""}]"
psp:person:53,Martin Chudoba,Martin,Chudoba,1969-09-13,,male,"[{""scheme"": ""psp"", ""identifier"": ""53""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=53""}]"
psp:person:54,Josef Janeček,Josef,Janeček,1952-12-12,1998-12-07,male,"[{""scheme"": ""psp"", ""identifier"": ""54""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=54""}]"
psp:person:55,Emil Jaroš,Emil,Jaroš,1943-11-21,,male,"[{""scheme"": ""psp"", ""identifier"": ""55""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=55""}]"
psp:person:56,Jan Jegla,Jan,Jegla,1944-12-17,,male,"[{""scheme"": ""psp"", ""identifier"": ""56""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=56""}]"
psp:person:57,Josef Ježek,Josef,Ježek,1940-11-25,,male,"[{""scheme"": ""psp"", ""identifier"": ""57""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=57""}]"
psp:person:58,Tomáš Ježek,Tomáš,Ježek,1940-03-15,,male,"[{""scheme"": ""psp"", ""identifier"": ""58""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=58""}]"
psp:person:59,František Kačenka,František,Kačenka,1948-04-04,,male,"[{""scheme"": ""psp"", ""identifier"": ""59""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=59""}]"
psp:person:60,Milada Kadlecová,Milada,Kadlecová,1940-11-19,,female,"[{""scheme"": ""psp"", ""identifier"": ""60""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=60""}]"
psp:person:61,Jaromír Kalus,Jaromír,Kalus,1947-12-27,,male,"[{""scheme"": ""psp"", ""identifier"": ""61""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=61""}]"
psp:person:62,Jan Kalvoda,Jan,Kalvoda,1953-10-30,,male,"[{""scheme"": ""psp"", ""identifier"": ""62""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=62""}]"
psp:person:63,Jiří Karas,Jiří,Karas,1942-07-30,1998-12-07,male,"[{""scheme"": ""psp"", ""identifier"": ""63""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=63""}]"
psp:person:64,Jan Kasal,Jan,Kasal,1951-11-06,1998-12-07,male,"[{""scheme"": ""psp"", ""identifier"": ""64""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=64""}]"
psp:person:65,Miroslav Kašpárek,Miroslav,Kašpárek,1940-04-06,,male,"[{""scheme"": ""psp"", ""identifier"": ""65""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=65""}]"
psp:person:66,Petr Kavan,Petr,Kavan,1943-07-28,,male,"[{""scheme"": ""psp"", ""identifier"": ""66""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=66""}]"
psp:person:67,Jan Klas,Jan,Klas,1958-04-03,1998-12-07,male,"[{""scheme"": ""psp"", ""identifier"": ""67""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=67""}]"
psp:person:68,Václav Klučka,Václav,Klučka,1953-07-20,,male,"[{""scheme"": ""psp"", ""identifier"": ""68""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=68""}]"
psp:person:69,Petr Koháček,Petr,Koháček,1951-08-03,1998-12-07,male,"[{""scheme"": ""psp"", ""identifier"": ""69""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=69""}]"
psp:person:70,Pavel Kolář,Pavel,Kolář,1965-11-21,,male,"[{""scheme"": ""psp"", ""identifier"": ""70""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=70""}]"
psp:person:71,Robert Kolář,Robert,Kolář,1959-05-15,,male,"[{""scheme"": ""psp"", ""identifier"": ""71""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=71""}]"
psp:person:72,Milena Kolářová,Milena,Kolářová,1960-06-26,,female,"[{""scheme"": ""psp"", ""identifier"": ""72""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=72""}]"
psp:person:73,Vladimír Koronthály,Vladimír,Koronthály,1951-05-20,,male,"[{""scheme"": ""psp"", ""identifier"": ""73""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=73""}]"
psp:person:74,Jan Koucký,Jan,Koucký,1953-06-23,,male,"[{""scheme"": ""psp"", ""identifier"": ""74""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=74""}]"
psp:person:75,Stanislav Kozák,Stanislav,Kozák,1950-07-31,,male,"[{""scheme"": ""psp"", ""identifier"": ""75""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=75""}]"
psp:person:76,František Kozel,František,Kozel,1944-03-16,,male,"[{""scheme"": ""psp"", ""identifier"": ""76""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=76""}]"
psp:person:77,Michal Kraus,Michal,Kraus,1957-10-01,1998-12-07,male,"[{""scheme"": ""psp"", ""identifier"": ""77""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=77""}]"
psp:person:78,Jan Krámek,Jan,Krámek,1945-12-18,,male,"[{""scheme"": ""psp"", ""identifier"": ""78""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=78""}]"
psp:person:79,Václav Krása,Václav,Krása,1951-11-24,1998-12-07,male,"[{""scheme"": ""psp"", ""identifier"": ""79""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=79""}]"
psp:person:80,Josef Krupík,Josef,Krupík,1942-10-07,,male,"[{""scheme"": ""psp"", ""identifier"": ""80""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=80""}]"
psp:person:81,Jan Kryčer,Jan,Kryčer,1955-11-16,,male,"[{""scheme"": ""psp"", ""identifier"": ""81""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=81""}]"
psp:person:82,Josef Křížek,Josef,Křížek,1938-08-24,,male,"[{""scheme"": ""psp"", ""identifier"": ""82""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=82""}]"
psp:person:83,Bohuslav Kuba,Bohuslav,Kuba,1952-08-18,,male,"[{""scheme"": ""psp"", ""identifier"": ""83""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=83""}]"
psp:person:84,Josef Kubiš,Josef,Kubiš,1943-10-14,,male,"[{""scheme"": ""psp"", ""identifier"": ""84""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=84""}]"
psp:person:85,Vlastislav Kuchař,Vlastislav,Kuchař,1960-01-28,,male,"[{""scheme"": ""psp"", ""identifier"": ""85""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=85""}]"
psp:person:86,Pavel Kulička,Pavel,Kulička,1958-05-16,,male,"[{""scheme"": ""psp"", ""identifier"": ""86""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=86""}]"
psp:person:87,Oldřich Kužílek,Oldřich,Kužílek,1956-01-04,,male,"[{""scheme"": ""psp"", ""identifier"": ""87""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=87""}]"
psp:person:88,Hana Lagová,Hana,Lagová,1941-07-21,,female,"[{""scheme"": ""psp"", ""identifier"": ""88""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=88""}]"
psp:person:89,Karel Ledvinka,Karel,Ledvinka,1941-04-18,,male,"[{""scheme"": ""psp"", ""identifier"": ""89""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=89""}]"
psp:person:90,Jan Litomiský,Jan,Litomiský,1943-08-19,,male,"[{""scheme"": ""psp"", ""identifier"": ""90""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=90""}]"
psp:person:91,Michal Lobkowicz,Michal,Lobkowicz,1964-07-20,1999-09-08,male,"[{""scheme"": ""psp"", ""identifier"": ""91""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=91""}]"
psp:person:92,Kateřina Lojdová,Kateřina,Lojdová,1961-03-02,,female,"[{""scheme"": ""psp"", ""identifier"": ""92""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=92""}]"
psp:person:93,Milan Loukota,Milan,Loukota,1960-06-18,,male,"[{""scheme"": ""psp"", ""identifier"": ""93""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=93""}]"
psp:person:94,Věnceslav Lukáš,Věnceslav,Lukáš,1943-02-06,,male,"[{""scheme"": ""psp"", ""identifier"": ""94""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=94""}]"
psp:person:95,Karel Mach,Karel,Mach,1960-06-17,,male,"[{""scheme"": ""psp"", ""identifier"": ""95""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=95""}]"
psp:person:96,Jiří Machalík,Jiří,Machalík,1945-06-19,,male,"[{""scheme"": ""psp"", ""identifier"": ""96""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=96""}]"
psp:person:97,Jiří Macháček,Jiří,Macháček,1958-08-27,,male,"[{""scheme"": ""psp"", ""identifier"": ""97""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=97""}]"
psp:person:98,Richard Mandelík,Richard,Mandelík,1953-04-17,,male,"[{""scheme"": ""psp"", ""identifier"": ""98""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=98""}]"
psp:person:99,Josef Mandík,Josef,Mandík,1945-12-04,1998-12-08,male,"[{""scheme"": ""psp"", ""identifier"": ""99""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=99""}]"
psp:person:100,Hana Kordová Marvanová,Hana,Kordová Marvanová,1962-11-26,,female,"[{""scheme"": ""psp"", ""identifier"": ""100""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=100""}]"
psp:person:101,Jiří Maryt,Jiří,Maryt,1964-02-13,,male,"[{""scheme"": ""psp"", ""identifier"": ""101""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=101""}]"
psp:person:102,Ivan Mašek,Ivan,Mašek,1948-07-28,,male,"[{""scheme"": ""psp"", ""identifier"": ""102""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=102""}]"
psp:person:103,Jaroslav Matějka,Jaroslav,Matějka,1940-12-17,,male,"[{""scheme"": ""psp"", ""identifier"": ""103""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=103""}]"
psp:person:104,Eva Matoušková,Eva,Matoušková,1951-11-15,,female,"[{""scheme"": ""psp"", ""identifier"": ""104""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=104""}]"
psp:person:105,Dalibor Matulka,Dalibor,Matulka,1953-07-12,1998-12-08,male,"[{""scheme"": ""psp"", ""identifier"": ""105""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=105""}]"
psp:person:106,Gerta Mazalová,Gerta,Mazalová,1945-02-10,,female,"[{""scheme"": ""psp"", ""identifier"": ""106""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=106""}]"
psp:person:107,Jaroslav Melichar,Jaroslav,Melichar,1938-02-12,1998-12-08,male,"[{""scheme"": ""psp"", ""identifier"": ""107""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=107""}]"
psp:person:108,Ludvík Motyčka,Ludvík,Motyčka,1932-07-07,,male,"[{""scheme"": ""psp"", ""identifier"": ""108""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=108""}]"
psp:person:109,Jan Navrátil,Jan,Navrátil,1955-12-01,,male,"[{""scheme"": ""psp"", ""identifier"": ""109""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=109""}]"
psp:person:110,Václav Nájemník,Václav,Nájemník,1944-07-03,1998-12-08,male,"[{""scheme"": ""psp"", ""identifier"": ""110""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=110""}]"
psp:person:111,Petr Nečas,Petr,Nečas,1964-11-19,1998-12-08,male,"[{""scheme"": ""psp"", ""identifier"": ""111""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=111""}]"
psp:person:112,Ladislav Nedorost,Ladislav,Nedorost,1964-10-28,,male,"[{""scheme"": ""psp"", ""identifier"": ""112""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=112""}]"
psp:person:113,Jindřich Němčík,Jindřich,Němčík,1949-07-11,,male,"[{""scheme"": ""psp"", ""identifier"": ""113""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=113""}]"
psp:person:114,Luboš Němec,Luboš,Němec,1951-03-09,,male,"[{""scheme"": ""psp"", ""identifier"": ""114""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=114""}]"
psp:person:115,Jaroslav Novák,Jaroslav,Novák,1935-12-18,,male,"[{""scheme"": ""psp"", ""identifier"": ""115""}]","[{""url"": ""https://www.psp.cz/sqw/hp.sqw?k=1301"", ""note"": ""id_osoba=115""}]"
